time,id,value
2017/10/19 11:59,4815218,2
2017/10/19 12:00,9546047,1
2017/10/19 12:04,9001670,1
2017/10/19 12:06,9105097,1
2017/10/19 12:06,1139755,1
2017/10/19 12:07,5247216,2
2017/10/19 12:09,2790786,1
2017/10/19 12:11,8278757,1
2017/10/19 12:11,8561742,1
2017/10/19 12:13,1855703,1
2017/10/19 12:14,2198625,2
2017/10/19 12:14,7338760,1
2017/10/19 12:14,3825045,1
2017/10/19 12:15,6061702,1
2017/10/19 12:16,739980,1
2017/10/19 12:16,7599455,2
2017/10/19 12:16,4440956,1
2017/10/19 12:18,1970129,1
2017/10/19 12:19,19956,1
2017/10/19 12:20,2374774,1
2017/10/19 12:23,4891092,1
2017/10/19 12:23,5067976,1
2017/10/19 12:30,3927931,1
2017/10/19 12:31,721367,1
2017/10/19 12:33,4468633,1
2017/10/19 12:37,6560238,1
2017/10/19 12:38,4815218,1
2017/10/19 12:39,1646693,1
2017/10/19 12:39,169129,1
2017/10/19 12:40,3545692,1
2017/10/19 12:41,7554127,1
2017/10/19 12:41,8714600,1
2017/10/19 12:43,4609040,1
2017/10/19 12:44,1761988,2
2017/10/19 12:44,173918,2
2017/10/19 12:45,6985197,1
2017/10/19 12:46,729701,1
2017/10/19 12:47,9952239,1
2017/10/19 12:53,5478746,1
2017/10/19 12:53,7938010,1
2017/10/19 12:55,8114762,1
2017/10/19 12:56,1526895,1
2017/10/19 12:59,157801,1
2017/10/19 13:01,1248437,2
2017/10/19 13:02,6818512,1
2017/10/19 13:04,6379440,1
2017/10/19 13:08,2430236,1
2017/10/19 13:08,5270387,1
2017/10/19 13:08,167636,1
2017/10/19 13:10,5145552,1
2017/10/19 13:10,287088,1
2017/10/19 13:13,7842763,2
2017/10/19 13:14,9177785,1
2017/10/19 13:16,1636627,1
2017/10/19 13:17,2106855,1
2017/10/19 13:18,7811405,1
2017/10/19 13:21,568395,1
2017/10/19 13:22,2500772,1
2017/10/19 13:22,6559338,1
2017/10/19 13:24,7599448,1
2017/10/19 13:27,7554127,1
2017/10/19 13:30,3165658,1
2017/10/19 13:31,8429676,1
2017/10/19 13:33,3591382,2
2017/10/19 13:33,466231,1
2017/10/19 13:34,5478964,1
2017/10/19 13:34,3517541,1
